"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.688999283E1,4.766281702E1,1.765069274E1,1.173899979E2,1.027762985E1,1.577121887E2,6.000906205E0,6.000906205E0
8.789000893E1,4.766272848E1,1.765075171E1,1.173899992E2,1.059738350E1,1.566968079E2,6.000906205E0,6.000906205E0
8.889002383E1,4.766263856E1,1.765080055E1,1.173899994E2,1.059738350E1,1.566968079E2,4.000604137E0,4.000604137E0
8.989003801E1,4.766255373E1,1.765086317E1,1.173899994E2,1.059738350E1,1.557767487E2,4.000604137E0,4.000604137E0
9.089005435E1,4.766246386E1,1.765092796E1,1.173899994E2,9.840703964E0,1.528676605E2,4.000604137E0,4.000604137E0
9.189006984E1,4.766238754E1,1.765098228E1,1.173899994E2,1.005230045E1,1.528676605E2,4.000604137E0,4.000604137E0
9.289008522E1,4.766230715E1,1.765104426E1,1.173899994E2,1.005230045E1,1.488630829E2,6.000906205E0,6.000906205E0
9.389010167E1,4.766223489E1,1.765109861E1,1.173899994E2,1.005230045E1,1.488630829E2,6.000906205E0,6.000906205E0
9.489011681E1,4.766214801E1,1.765116508E1,1.173899994E2,9.683751106E0,1.464660492E2,6.000906205E0,6.000906205E0
9.589013278E1,4.766206943E1,1.765122923E1,1.173899994E2,1.009389400E1,1.464660492E2,6.000906205E0,6.000906205E0
9.689014876E1,4.766199095E1,1.765130481E1,1.173899994E2,1.009389400E1,1.474494781E2,6.000906205E0,6.000906205E0
9.789016461E1,4.766195766E1,1.765134142E1,1.173899994E2,1.060549259E1,1.474494781E2,6.000906205E0,6.000906205E0
9.889018047E1,4.766183183E1,1.765145998E1,1.173899994E2,1.105890179E1,1.466090698E2,6.000906205E0,6.000906205E0
9.989019644E1,4.766175199E1,1.765155278E1,1.173899994E2,1.105890179E1,1.454098969E2,6.000906205E0,6.000906205E0
1.008902116E2,4.766167276E1,1.765163666E1,1.173899994E2,1.093645000E1,1.454098969E2,6.000906205E0,6.000906205E0
1.018902284E2,4.766160145E1,1.765171854E1,1.173899994E2,1.057185745E1,1.429040375E2,6.000906205E0,6.000906205E0
1.028902441E2,4.766152769E1,1.765181094E1,1.173899994E2,1.076776791E1,1.429040375E2,6.000906205E0,6.000906205E0
1.038902603E2,4.766145241E1,1.765190083E1,1.173899994E2,1.076776791E1,1.429040375E2,6.000906205E0,6.000906205E0
