"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.259989000E0,3.444667906E-3,-1.443960145E-2,-2.808858454E-2
1.270030000E0,3.523763735E-3,-2.326531708E-2,-3.537712246E-2
1.280070000E0,1.645817421E-3,-1.545886695E-2,-2.975528128E-2
1.290110000E0,-3.954954445E-4,4.207778722E-3,-2.881731652E-2
1.300151000E0,7.050479762E-4,2.553146519E-2,-2.907146700E-2
1.310191000E0,8.074280806E-3,3.565600514E-2,-3.529847413E-2
1.320231000E0,9.945532307E-3,3.767913207E-2,-3.183618933E-2
1.330271000E0,1.466332190E-2,2.939750068E-2,-4.672938585E-2
1.340312000E0,8.462080732E-3,1.317282394E-2,-3.481236100E-2
1.350352000E0,8.527594618E-3,1.297575049E-2,-3.003757633E-2
1.360392000E0,4.424519837E-3,6.280799396E-3,-2.973138914E-2
1.370432000E0,-2.011246979E-4,-2.171781287E-2,-3.122542426E-2
1.380473000E0,7.706384175E-3,-1.431945711E-2,-3.641637415E-2
1.390513000E0,3.878090065E-3,-2.915459499E-2,-4.261221737E-2
1.400523000E0,-2.700304613E-4,-1.423403341E-2,-4.738816619E-2
1.410563000E0,-9.989384562E-4,-3.290811926E-2,-4.544112086E-2
1.420603000E0,5.962669849E-3,6.943277083E-3,-3.779809922E-2
1.430644000E0,2.823069226E-3,-1.683156192E-2,-3.231837600E-2
1.440684000E0,1.106271520E-2,-2.101287246E-2,-4.414787889E-2
1.450724000E0,9.343378246E-3,-3.383918852E-2,-4.565629363E-2
1.460765000E0,7.371613756E-3,-3.011850268E-2,-4.973698407E-2
1.470805000E0,3.081793897E-3,-3.413082287E-2,-4.871325940E-2
1.480845000E0,7.266112603E-3,-2.753096074E-2,-4.317050055E-2
1.490885000E0,8.602753282E-3,-1.801069081E-2,-4.747337103E-2
1.500926000E0,8.423014544E-3,-1.643778197E-2,-4.810196161E-2
1.510966000E0,9.037138894E-3,-2.008897625E-2,-5.474868417E-2
1.521006000E0,7.320758421E-3,-3.380074352E-2,-6.199230254E-2
1.531047000E0,1.056049392E-2,-2.999934927E-2,-6.282347441E-2
1.541087000E0,1.102042198E-2,-3.017991222E-2,-6.354518980E-2
1.551127000E0,9.268327616E-3,-2.904460765E-2,-5.860423297E-2
1.561167000E0,7.470161654E-3,-4.498469085E-2,-6.743393838E-2
1.571208000E0,7.546061650E-3,-4.444007576E-2,-7.737924904E-2
1.581248000E0,1.157302782E-2,-4.453355074E-2,-8.368774503E-2
1.591288000E0,1.051069237E-2,-4.934535176E-2,-8.686196804E-2
1.601328000E0,4.254128318E-3,-3.630598262E-2,-8.756344020E-2
1.611369000E0,9.761812165E-3,-5.277017504E-2,-9.073340148E-2
1.621409000E0,7.862977684E-3,-4.326722026E-2,-9.712525457E-2
1.631449000E0,3.241995350E-3,-6.337836385E-2,-1.060189381E-1
1.641490000E0,8.580225520E-3,-4.766746983E-2,-1.132223755E-1
1.651530000E0,5.963403266E-3,-4.691858962E-2,-1.237794161E-1
1.661570000E0,-1.663160510E-3,-3.920874000E-2,-1.193446741E-1
1.671610000E0,3.144111019E-3,-3.496472538E-2,-1.202791706E-1
1.681651000E0,1.685340423E-3,-3.332296386E-2,-1.250485033E-1
1.691691000E0,4.089642316E-3,-3.468996286E-2,-1.328134686E-1
1.701731000E0,1.518178266E-3,-3.889816627E-2,-1.431515962E-1
1.711772000E0,-7.823657244E-3,-5.139904469E-2,-1.472709775E-1
1.721812000E0,-5.286797881E-3,-4.281244054E-2,-1.433857828E-1
1.731852000E0,8.825957775E-5,-2.923990414E-2,-1.373915374E-1
1.741892000E0,-8.316133171E-4,-2.793858573E-2,-1.415001750E-1
1.751933000E0,2.213978209E-3,-2.973435447E-2,-1.468600482E-1
1.761973000E0,8.856700733E-3,-2.808718756E-2,-1.519035399E-1
1.772013000E0,9.623366408E-3,-2.289702930E-2,-1.504356861E-1
1.782054000E0,6.027215626E-3,-1.677906141E-2,-1.420405954E-1
1.792063000E0,1.273651794E-2,4.734280519E-4,-1.402988881E-1
1.802104000E0,1.529246382E-2,-4.033972509E-4,-1.397415996E-1
1.812144000E0,1.652390882E-2,5.320801400E-3,-1.366640329E-1
1.822184000E0,1.278758980E-2,-7.108394522E-3,-1.296907961E-1
1.832224000E0,2.023804933E-2,1.566163264E-2,-1.270569265E-1
1.842265000E0,1.920139790E-2,6.450165994E-3,-1.198100448E-1
1.852305000E0,2.467259765E-2,2.937119454E-2,-1.160754859E-1
1.862345000E0,1.923817769E-2,2.785270289E-2,-1.138798073E-1
1.872386000E0,2.657598443E-2,5.359215289E-2,-1.048775315E-1
1.882426000E0,2.533983067E-2,4.124213010E-2,-9.285043180E-2
1.892466000E0,2.797955461E-2,5.661682039E-2,-8.003822714E-2
1.902506000E0,2.726642415E-2,3.785352409E-2,-7.815073431E-2
1.912547000E0,2.868615463E-2,3.533071280E-2,-7.995955646E-2
1.922587000E0,2.622219920E-2,2.019916475E-2,-7.650384307E-2
1.932627000E0,2.222515270E-2,3.168331087E-2,-6.764827669E-2
1.942668000E0,1.071578823E-2,2.854256332E-2,-5.951378495E-2
1.952708000E0,1.013921387E-2,4.002637789E-2,-5.041376501E-2
1.962748000E0,7.837801240E-3,4.566510767E-2,-4.659664631E-2
1.972788000E0,4.735485185E-3,5.042071640E-2,-4.269991070E-2
1.982829000E0,4.149214365E-3,3.960701451E-2,-3.766427934E-2
1.992869000E0,5.150030367E-3,4.438525811E-2,-3.094565682E-2
2.002909000E0,1.400858629E-3,4.263293371E-2,-2.615125850E-2
2.012950000E0,-8.101033047E-3,4.003528506E-2,-2.191337198E-2
2.022990000E0,-6.809934974E-3,4.037248716E-2,-1.732051559E-2
2.033030000E0,1.068227924E-3,5.824336410E-2,-7.722482085E-3
2.043070000E0,-7.403904572E-3,5.859955400E-2,3.349538893E-4
2.053111000E0,-7.549046539E-3,8.002149314E-2,6.739323027E-3
2.063151000E0,-5.822166800E-3,7.241319865E-2,1.042059995E-2
2.073191000E0,-1.507579349E-3,7.898455113E-2,7.584866136E-3
2.083232000E0,-5.883952603E-3,6.352782995E-2,1.240785047E-2
2.093272000E0,-1.815879717E-3,7.468602806E-2,2.489250712E-2
2.103312000E0,1.443084329E-3,7.011746615E-2,3.029298782E-2
2.113352000E0,-2.403585240E-3,7.218061388E-2,4.117999226E-2
2.123393000E0,7.026602514E-3,5.805652589E-2,4.301685840E-2
2.133433000E0,8.059110492E-3,6.263636798E-2,4.510077834E-2
2.143473000E0,3.978505731E-3,4.354529828E-2,4.471101984E-2
2.153514000E0,1.019725297E-2,4.504119605E-2,5.641454458E-2
2.163554000E0,8.617346175E-3,3.192394599E-2,5.333657563E-2
2.173594000E0,1.072071120E-2,5.154292285E-2,6.394527107E-2
2.183634000E0,7.593512535E-3,4.427104443E-2,7.169730961E-2
2.193644000E0,1.042178925E-2,3.897428513E-2,7.608513534E-2
2.203684000E0,1.663242653E-2,4.090414941E-2,8.093667775E-2
2.213725000E0,1.311465818E-2,3.890411556E-2,8.607844263E-2
2.223765000E0,1.217003539E-2,4.446665943E-2,9.088784456E-2
2.233805000E0,1.723776385E-2,3.749316931E-2,9.137520939E-2
2.243832042E0,1.377346553E-2,3.621772677E-2,9.763035923E-2
2.253872042E0,1.113800146E-2,3.609628975E-2,1.061482131E-1
2.263912042E0,1.205675676E-2,3.273801878E-2,1.098519713E-1
2.273952042E0,8.325668052E-3,3.783956915E-2,1.195615903E-1
2.283993042E0,1.171921939E-2,2.952667326E-2,1.214011386E-1
2.294033042E0,1.680612378E-2,2.547893487E-2,1.255767047E-1
2.304073042E0,1.084206253E-2,2.785481699E-2,1.213222891E-1
2.314114042E0,2.020227537E-2,2.988148294E-2,1.281535774E-1
2.324154042E0,2.122078463E-2,1.779247262E-2,1.327208281E-1
2.334194042E0,2.535028197E-2,2.656812035E-2,1.398120224E-1
2.344234042E0,1.660218090E-2,6.424063351E-3,1.440026313E-1
2.354275042E0,6.925586145E-3,-1.727008075E-2,1.409250796E-1
2.364315042E0,9.745048359E-3,-3.059071489E-2,1.420088112E-1
2.374355042E0,7.923979312E-3,-4.153151438E-2,1.308757365E-1
2.384396042E0,3.752017394E-3,-3.626707941E-2,1.288288981E-1
2.394436042E0,-1.064043492E-3,-3.354053572E-2,1.373664588E-1
2.404476042E0,-4.480314441E-3,-4.184479266E-2,1.498917788E-1
2.414516042E0,-8.634047583E-3,-3.222838789E-2,1.510649025E-1
2.424557042E0,-1.764441282E-2,-4.821541905E-2,1.402197182E-1
2.434597042E0,-9.533224627E-3,-3.374592960E-2,1.231342182E-1
2.444637042E0,-1.837467775E-2,-1.950018108E-2,1.317578852E-1
2.454678042E0,-2.409834601E-2,-2.371889353E-2,1.423945576E-1
2.464718042E0,-2.920413017E-2,-4.532919265E-3,1.511006057E-1
2.474758042E0,-4.241181165E-2,-3.824081644E-2,1.455612332E-1
2.484798042E0,-4.429670423E-2,-2.429216541E-2,1.304733455E-1
2.494839042E0,-5.351896584E-2,-4.322617501E-2,1.187421158E-1
2.504879042E0,-4.880351946E-2,-1.540157199E-2,1.217407435E-1
2.514919042E0,-5.984178931E-2,-1.392138749E-2,1.289797574E-1
2.524960042E0,-5.712613091E-2,1.344546862E-2,1.340638399E-1
2.535000042E0,-5.520785227E-2,9.575895965E-3,1.322856545E-1
2.545040042E0,-4.536403716E-2,-1.331693120E-2,1.288108528E-1
2.555080042E0,-4.012693465E-2,-1.033525541E-2,1.244107783E-1
2.565121042E0,-3.216706961E-2,-1.654742658E-2,1.234953254E-1
2.575161042E0,-2.348143794E-2,-1.286560670E-2,1.179037541E-1
2.585201042E0,-2.193212695E-2,-2.219998976E-3,1.140664741E-1
2.595211042E0,-1.546410844E-2,-2.758207917E-2,1.162862182E-1
2.605251042E0,-6.158938631E-4,-1.606036350E-2,1.154060364E-1
2.615292042E0,-7.843712345E-3,-1.468484104E-2,1.180697307E-1
2.625332042E0,7.538301870E-4,3.886984196E-3,1.115029380E-1
2.635372042E0,7.777987048E-4,-6.615723949E-3,1.012068912E-1
2.645412042E0,7.632210851E-3,-3.340870515E-2,9.132990241E-2
2.655453042E0,1.375987753E-2,-3.278579190E-2,9.989276528E-2
2.665493042E0,1.548383012E-2,-4.645226523E-2,1.041711196E-1
2.675533042E0,1.943596080E-2,-3.609763086E-2,1.054853871E-1
2.685574042E0,2.163257077E-2,-2.712036110E-2,9.847771376E-2
2.695614042E0,2.627366036E-2,-1.202662941E-2,8.717791736E-2
2.705654042E0,2.370912582E-2,7.622250356E-3,7.814579457E-2
2.715694042E0,1.797826961E-2,2.407073230E-2,8.152374625E-2
2.725735042E0,1.670518145E-2,5.394874141E-2,9.326516092E-2
2.735775042E0,3.199227154E-3,5.361717567E-2,9.860586375E-2
2.745815042E0,4.425436724E-3,3.742574900E-2,9.106643498E-2
2.755855042E0,-1.533357427E-4,3.524781764E-2,7.983535528E-2
2.765896042E0,-3.634320572E-3,1.597133838E-2,6.640733033E-2
2.775936042E0,-9.181417525E-3,2.949433774E-2,6.392925978E-2
2.785976042E0,-1.730379276E-2,4.290548339E-2,7.255604118E-2
2.796017042E0,-2.193127386E-2,3.638928384E-2,8.075208962E-2
2.806057042E0,-2.324439213E-2,3.909813613E-2,7.704553753E-2
2.816097042E0,-2.921759710E-2,2.718102001E-2,6.256246567E-2
2.826137042E0,-3.234879673E-2,7.642677985E-3,4.777165502E-2
2.836178042E0,-3.082813509E-2,-4.048617557E-4,4.437878728E-2
2.846218042E0,-3.033481911E-2,-2.201912180E-2,4.378988966E-2
2.856258042E0,-2.433684841E-2,-7.875340059E-3,5.402494967E-2
2.866299042E0,-2.952427976E-2,-1.424745843E-2,5.762784183E-2
2.876339042E0,-2.327037789E-2,3.262843937E-2,5.329168588E-2
2.886379042E0,-2.262218669E-2,1.687590405E-2,4.095933586E-2
2.896419042E0,-2.139713243E-2,1.809643023E-2,3.039324284E-2
2.906460042E0,-1.540716551E-2,2.186073735E-2,2.984930389E-2
2.916500042E0,-2.318732440E-2,1.437565591E-2,4.210676998E-2
2.926540042E0,-1.709573902E-2,2.209265344E-2,4.229861498E-2
2.936581042E0,-7.881734520E-3,1.747073792E-2,3.992360830E-2
2.946621042E0,-7.617015392E-3,-9.277113713E-4,3.080787137E-2
2.956661042E0,-1.384839416E-4,1.858929638E-3,2.453766763E-2
2.966701042E0,-2.980875783E-3,4.405709915E-3,2.276160568E-2
2.976742042E0,-3.248523921E-3,1.202927530E-2,2.160712332E-2
2.986782042E0,-1.704689115E-3,2.225022018E-2,2.699549869E-2
2.996822042E0,-1.319782808E-2,8.314431645E-3,3.057638556E-2
3.006832042E0,-8.131183684E-3,-6.583938375E-4,2.400161512E-2
3.016872042E0,-6.627030671E-3,-2.966022817E-3,1.744411327E-2
3.026913042E0,-8.678862825E-3,2.726767678E-3,1.221942343E-2
3.036953042E0,-8.927602321E-3,1.492005028E-2,1.192114968E-2
3.046993042E0,-1.238962635E-2,2.272622474E-2,1.804406568E-2
3.057033042E0,-1.340136304E-2,1.397001743E-2,2.046088502E-2
3.067074042E0,-1.263033599E-2,1.141779125E-2,2.253799513E-2
3.077114042E0,-7.759947330E-3,1.713498496E-3,7.408043370E-3
3.087154042E0,-7.547818124E-3,-3.541514277E-3,-1.780547202E-3
3.097195042E0,-7.439161651E-3,1.194716431E-2,4.613435827E-3
3.107235042E0,-1.098915562E-2,-1.455022395E-2,7.613486610E-3
3.117275042E0,-1.134852879E-2,4.444059916E-3,1.664086059E-2
3.127315042E0,-8.909367025E-3,-1.655445434E-2,1.139665954E-2
3.137356042E0,-6.748477928E-3,-4.442132078E-3,-1.185815781E-4
3.147396042E0,-5.114454776E-3,2.614608407E-2,-1.603756100E-4
3.157436042E0,-4.410580732E-3,2.165785804E-2,-3.414694220E-4
3.167477042E0,-7.010648027E-3,2.358081192E-2,5.296747200E-3
3.177517042E0,-7.205279544E-4,1.761559770E-2,7.854713127E-3
3.187557042E0,-6.882639602E-3,1.251105405E-2,7.293603383E-3
3.197597042E0,-1.062544622E-2,1.965631545E-2,8.926654235E-3
3.207638042E0,-7.292766124E-3,1.917641424E-2,-2.697510645E-3
3.217678042E0,-8.156429976E-3,6.109081674E-3,-2.233855426E-3
3.227718042E0,-4.553247243E-3,6.428493187E-3,1.264190301E-3
3.237759042E0,-2.178240567E-3,-1.202161983E-2,4.002452828E-3
3.247824625E0,-9.085262194E-3,-2.416062402E-3,8.036130108E-3
3.257864625E0,-1.236707531E-2,-2.177751064E-2,6.471789442E-3
