"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.258689792E0,-2.378182486E-3,-1.944111288E-2,-3.702272661E-3
1.268730792E0,-1.757480204E-4,-2.046989277E-2,-6.535875611E-3
1.278770792E0,-3.981237300E-3,-1.494484395E-2,-5.194747820E-3
1.288810792E0,-8.423389867E-3,-1.364522148E-2,-4.173425958E-3
1.298851792E0,-8.913089521E-3,-9.766370058E-4,-9.052438661E-3
1.308891792E0,-1.538031083E-2,-1.673319843E-3,-1.032276638E-2
1.318901792E0,-1.620440185E-2,1.616626978E-3,-5.969890393E-3
1.328941792E0,-1.903427765E-2,1.282665879E-3,-1.890194602E-3
1.338981792E0,-1.704977453E-2,9.234655648E-3,-3.867230378E-3
1.349022792E0,-1.459407341E-2,-1.528508961E-3,-6.233981811E-3
1.359062792E0,-1.473290566E-2,3.923397511E-3,-6.721130572E-3
1.369102792E0,-1.486633066E-2,3.912476823E-4,-5.946948193E-3
1.379142792E0,-2.053886652E-2,1.752022654E-3,-4.554759711E-3
1.389183792E0,-2.067974582E-2,-4.037423525E-3,-2.232217230E-3
1.399223792E0,-1.543472242E-2,-6.379506551E-3,-5.481462926E-3
1.409263792E0,-1.291111019E-2,-9.097528644E-3,-7.856735960E-3
1.419304792E0,-1.063057315E-2,-1.478903741E-2,-9.751274250E-3
1.429344792E0,-1.019887533E-2,-1.145129744E-2,-7.363217883E-3
1.439384792E0,-7.152783684E-3,-5.837624427E-3,-4.872904159E-3
1.449394792E0,-4.958870821E-3,5.870697089E-3,-2.451024018E-3
1.459434792E0,-4.855073988E-3,7.841223851E-4,-3.268380649E-3
1.469474792E0,8.643306792E-4,-4.212241620E-4,-7.798417471E-3
1.479515792E0,3.906333353E-3,1.435403712E-3,-1.119361632E-2
1.489555792E0,6.339130923E-3,6.127525121E-4,-1.032835431E-2
1.499595792E0,1.198613923E-2,5.160286091E-3,-7.446519099E-3
1.509636792E0,1.205511484E-2,8.900962770E-3,-3.010491841E-3
1.519676792E0,1.297959499E-2,4.194039851E-3,-3.063447773E-3
1.529716792E0,1.057076547E-2,-4.711570684E-3,-7.440352812E-3
1.539756792E0,1.140328404E-2,-1.774321496E-2,-1.250954531E-2
1.549797792E0,1.442304254E-2,-2.224954963E-2,-1.344458014E-2
1.559837792E0,1.556438673E-2,-2.367480844E-2,-1.324341632E-2
1.569877792E0,1.776176132E-2,-1.511674002E-2,-5.904277787E-3
1.579887792E0,1.122655626E-2,-1.125503145E-2,-7.168266922E-3
1.589927792E0,1.013758965E-2,-3.774744458E-3,-1.063996367E-2
1.599968792E0,1.622951590E-3,-6.067251787E-3,-1.141532045E-2
1.610008792E0,3.414193168E-3,-8.552247658E-3,-1.115113404E-2
1.620048792E0,7.473383099E-3,-6.820393726E-3,-8.777725510E-3
1.630088792E0,1.305243932E-2,-1.428523473E-2,-9.922086261E-3
1.640129792E0,1.247394737E-2,-1.316663995E-2,-9.963261895E-3
1.650169792E0,4.545982927E-3,-1.174744032E-2,-1.458491106E-2
1.660209792E0,2.434536815E-3,2.132276073E-3,-1.511587016E-2
1.670250792E0,-8.343009278E-3,5.654572509E-3,-1.021805033E-2
1.680290792E0,-1.130300760E-2,6.636625156E-3,-8.649121970E-3
1.690330792E0,-1.386496797E-2,7.512886077E-5,-7.571075112E-3
1.700370792E0,-9.045712650E-3,3.182505257E-3,-1.082146168E-2
