"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.409069705E1,4.769272698E1,1.763375186E1,1.163659466E2,9.791594505E0,2.295614929E2,6.000906205E0,6.000906205E0
9.509069109E1,4.769267038E1,1.763365349E1,1.163730098E2,9.791594505E0,2.295614929E2,6.000906205E0,6.000906205E0
9.609068453E1,4.769261493E1,1.763355712E1,1.163791818E2,9.380745888E0,2.295614929E2,6.000906205E0,6.000906205E0
9.709067726E1,4.769256315E1,1.763346713E1,1.163832322E2,9.136031151E0,2.295614929E2,6.000906205E0,6.000906205E0
9.809067130E1,4.769251398E1,1.763338168E1,1.163857658E2,8.637918472E0,2.295614929E2,8.001208274E0,8.001208274E0
9.909066403E1,4.769246730E1,1.763330055E1,1.163873513E2,7.600156307E0,2.295614929E2,6.000906205E0,6.000906205E0
1.000906570E2,4.769242172E1,1.763322230E1,1.163883476E2,8.205194473E0,2.253491821E2,6.000906205E0,6.000906205E0
1.010906509E2,4.769236564E1,1.763313822E1,1.163889690E2,8.205194473E0,2.253491821E2,6.000906205E0,6.000906205E0
1.020906446E2,4.769230754E1,1.763304806E1,1.163893470E2,9.117071152E0,2.273184814E2,6.000906205E0,6.000906205E0
1.030906383E2,4.769225496E1,1.763295694E1,1.163895908E2,9.117071152E0,2.317393646E2,6.000906205E0,6.000906205E0
1.040906321E2,4.769220721E1,1.763286551E1,1.163897388E2,8.392815590E0,2.327803040E2,6.000906205E0,6.000906205E0
1.050906261E2,4.769216186E1,1.763277707E1,1.163898360E2,8.392815590E0,2.327803040E2,6.000906205E0,6.000906205E0
1.060906198E2,4.769211682E1,1.763268925E1,1.163899007E2,8.296003342E0,2.327803040E2,6.000906205E0,6.000906205E0
1.070906143E2,4.769207236E1,1.763260253E1,1.163899346E2,8.294073105E0,2.341409760E2,4.000604137E0,4.000604137E0
1.080906085E2,4.769202915E1,1.763251398E1,1.163899517E2,8.154023170E0,2.341409760E2,4.000604137E0,4.000604137E0
